name,value,timestamp,date,type
SK Telecom T1,2141.2855396932005,1380297600.0,13-09-28,KR
Fnatic,1889.511964806165,1380297600.0,13-09-28,EUW
OMG,1686.70015784514,1380297600.0,13-09-28,CN
Samsung Ozone,1615.5832195350172,1380297600.0,13-09-28,KR
Gambit Gaming,1521.555332354424,1380297600.0,13-09-28,EUW
Lemondogs,1370.438690204645,1380297600.0,13-09-28,EUW
Team Vulcun,1272.649837394551,1380297600.0,13-09-28,NA
GamingGear,1160.6942030353193,1380297600.0,13-09-28,EUW
Team SoloMid,1080.756718851336,1380297600.0,13-09-28,NA
Mineski,922.1907872055808,1380297600.0,13-09-28,SEA
SK Telecom T1,2216.645505594318,1380816000.0,13-10-04,KR
Fnatic,1886.3859409229249,1380816000.0,13-10-04,EUW
OMG,1687.249340741137,1380816000.0,13-10-04,CN
Samsung Ozone,1614.1469195851164,1380816000.0,13-10-04,KR
Gambit Gaming,1522.790564154969,1380816000.0,13-10-04,EUW
Lemondogs,1371.5470884411966,1380816000.0,13-10-04,EUW
Team Vulcun,1276.019784497008,1380816000.0,13-10-04,NA
GamingGear,1162.7865510467354,1380816000.0,13-10-04,EUW
Team SoloMid,1086.7546035092612,1380816000.0,13-10-04,NA
Mineski,927.937765461036,1380816000.0,13-10-04,SEA
SK Telecom T1,2111.7705965847576,1387641600.0,13-12-22,KR
Fnatic,1841.0026004150982,1387641600.0,13-12-22,EUW
OMG,1688.8855630112412,1387641600.0,13-12-22,CN
Samsung Ozone,1595.8899154954538,1387641600.0,13-12-22,KR
Gambit Gaming,1537.6065423560017,1387641600.0,13-12-22,EUW
Lemondogs,1382.7647332335873,1387641600.0,13-12-22,EUW
Team Vulcun,1314.6835836333312,1387641600.0,13-12-22,NA
GamingGear,1192.123063561018,1387641600.0,13-12-22,EUW
Team SoloMid,1161.8803841950246,1387641600.0,13-12-22,NA
Mineski,1000.7741982955428,1387641600.0,13-12-22,SEA
SK Telecom T1,1834.6770186343063,1390060800.0,14-01-19,KR
Fnatic,1741.8784581521797,1390060800.0,14-01-19,EUW
OMG,1644.0131800562647,1390060800.0,14-01-19,CN
Gambit Gaming,1570.8744304686281,1390060800.0,14-01-19,EUW
Samsung Ozone,1546.8990355076312,1390060800.0,14-01-19,KR
Cloud 9,1492.0370688424905,1390060800.0,14-01-19,NA
Alliance,1455.7476240323938,1390060800.0,14-01-19,EUW
Lemondogs,1430.3546296561242,1390060800.0,14-01-19,EUW
Team Vulcun,1411.1940151951699,1390060800.0,14-01-19,NA
Team SoloMid,1367.3927796041385,1390060800.0,14-01-19,NA
GamingGear,1304.1815177368212,1390060800.0,14-01-19,EUW
Mineski,1213.7322598308285,1390060800.0,14-01-19,SEA
SK Telecom T1,1824.1666864523982,1391270400.0,14-02-02,KR
Fnatic,1746.010017523773,1391270400.0,14-02-02,EUW
OMG,1640.8812601598904,1391270400.0,14-02-02,CN
Gambit Gaming,1593.942052223214,1391270400.0,14-02-02,EUW
Samsung Ozone,1545.1545298086949,1391270400.0,14-02-02,KR
Dignitas,1533.2982136745825,1391270400.0,14-02-02,NA
Roccat,1523.8239487334044,1391270400.0,14-02-02,EUW
Cloud 9,1514.0688005669012,1391270400.0,14-02-02,NA
SK Gaming,1492.543459621585,1391270400.0,14-02-02,EUW
CLG,1485.2724553317566,1391270400.0,14-02-02,NA
Supa Hot Crew,1482.7579989561618,1391270400.0,14-02-02,EUW
Copenhagen Wolves,1478.7341757663683,1391270400.0,14-02-02,EUW
Evil Genuises,1475.535137625098,1391270400.0,14-02-02,NA
Curse,1471.016196793695,1391270400.0,14-02-02,NA
Millenium,1468.8534354836816,1391270400.0,14-02-02,EUW
Alliance,1459.112197461455,1391270400.0,14-02-02,EUW
Team Coast,1450.218614706363,1391270400.0,14-02-02,NA
Lemondogs,1432.364890145852,1391270400.0,14-02-02,EUW
Team SoloMid,1427.2264289145753,1391270400.0,14-02-02,NA
Team Vulcun,1414.4471393041583,1391270400.0,14-02-02,NA
GamingGear,1309.4136113064758,1391270400.0,14-02-02,EUW
Mineski,1222.3380113939077,1391270400.0,14-02-02,SEA
SK Telecom T1,1813.9318469302686,1392480000.0,14-02-16,KR
Fnatic,1675.9774630617057,1392480000.0,14-02-16,EUW
OMG,1637.73447037773,1392480000.0,14-02-16,CN
Gambit Gaming,1584.1952928227063,1392480000.0,14-02-16,EUW
Roccat,1571.986186638766,1392480000.0,14-02-16,EUW
Samsung Ozone,1543.4695828633926,1392480000.0,14-02-16,KR
Cloud 9,1534.7906658997126,1392480000.0,14-02-16,NA
SK Gaming,1510.0036905905604,1392480000.0,14-02-16,EUW
Supa Hot Crew,1509.5145152770428,1392480000.0,14-02-16,EUW
CLG,1497.7221710349506,1392480000.0,14-02-16,NA
Dignitas,1490.9930156432022,1392480000.0,14-02-16,NA
Team SoloMid,1481.5889909135458,1392480000.0,14-02-16,NA
Curse,1471.8924903286563,1392480000.0,14-02-16,NA
Alliance,1465.2436560446206,1392480000.0,14-02-16,EUW
Millenium,1464.3117464812865,1392480000.0,14-02-16,EUW
Copenhagen Wolves,1458.1872397492862,1392480000.0,14-02-16,EUW
Team Coast,1455.6091370383415,1392480000.0,14-02-16,NA
Evil Genuises,1451.544189763566,1392480000.0,14-02-16,NA
Lemondogs,1434.3356370606382,1392480000.0,14-02-16,EUW
Team Vulcun,1417.5844433176155,1392480000.0,14-02-16,NA
GamingGear,1314.5742575630763,1392480000.0,14-02-16,EUW
Mineski,1230.7503723962657,1392480000.0,14-02-16,SEA
SK Telecom T1,1803.9678738388563,1393689600.0,14-03-02,KR
Fnatic,1639.1978105428102,1393689600.0,14-03-02,EUW
OMG,1634.5797408607602,1393689600.0,14-03-02,CN
Gambit Gaming,1580.115196340621,1393689600.0,14-03-02,EUW
Cloud 9,1552.8479185691024,1393689600.0,14-03-02,NA
CLG,1542.9860054387916,1393689600.0,14-03-02,NA
Samsung Ozone,1541.8427719445187,1393689600.0,14-03-02,KR
Roccat,1541.266211090913,1393689600.0,14-03-02,EUW
SK Gaming,1534.3106622891341,1393689600.0,14-03-02,EUW
Supa Hot Crew,1512.9374158856308,1393689600.0,14-03-02,EUW
Copenhagen Wolves,1512.1819618498655,1393689600.0,14-03-02,EUW
Dignitas,1489.481330425062,1393689600.0,14-03-02,NA
Team Coast,1482.5292030248188,1393689600.0,14-03-02,NA
Team SoloMid,1481.8444396952689,1393689600.0,14-03-02,NA
Alliance,1469.764862777033,1393689600.0,14-03-02,EUW
Millenium,1443.3584087929783,1393689600.0,14-03-02,EUW
Lemondogs,1436.2665359921307,1393689600.0,14-03-02,EUW
Evil Genuises,1430.751612177801,1393689600.0,14-03-02,NA
Curse,1426.240968669037,1393689600.0,14-03-02,NA
Team Vulcun,1420.6097634605128,1393689600.0,14-03-02,NA
GamingGear,1319.6600347049846,1393689600.0,14-03-02,EUW
Mineski,1238.9699620238437,1393689600.0,14-03-02,SEA
SK Telecom T1,1799.0860193137687,1394294400.0,14-03-09,KR
OMG,1633.0014445391512,1394294400.0,14-03-09,CN
Fnatic,1629.531978553471,1394294400.0,14-03-09,EUW
Cloud 9,1596.0497959031559,1394294400.0,14-03-09,NA
Gambit Gaming,1576.0247901466767,1394294400.0,14-03-09,EUW
SK Gaming,1559.059045095821,1394294400.0,14-03-09,EUW
Samsung Ozone,1541.0507139968222,1394294400.0,14-03-09,KR
CLG,1540.232804026791,1394294400.0,14-03-09,NA
Team SoloMid,1529.3474741976434,1394294400.0,14-03-09,NA
Alliance,1522.65993671519,1394294400.0,14-03-09,EUW
Roccat,1514.5757209020983,1394294400.0,14-03-09,EUW
Copenhagen Wolves,1513.8949040872317,1394294400.0,14-03-09,EUW
Dignitas,1465.9030412505576,1394294400.0,14-03-09,NA
Supa Hot Crew,1464.0413153022091,1394294400.0,14-03-09,EUW
Curse,1454.9613591401344,1394294400.0,14-03-09,NA
Millenium,1450.2293155609188,1394294400.0,14-03-09,EUW
Lemondogs,1437.2169579988101,1394294400.0,14-03-09,EUW
Team Coast,1433.718006522341,1394294400.0,14-03-09,NA
Team Vulcun,1422.0816013240278,1394294400.0,14-03-09,NA
Evil Genuises,1410.2900394631051,1394294400.0,14-03-09,NA
GamingGear,1322.1738613599198,1394294400.0,14-03-09,EUW
Mineski,1243.0077147674199,1394294400.0,14-03-09,SEA
SK Telecom T1,1784.8340641008974,1396108800.0,14-03-30,KR
Fnatic,1665.3301705814813,1396108800.0,14-03-30,EUW
Cloud 9,1630.4039110716337,1396108800.0,14-03-30,NA
OMG,1628.272005027353,1396108800.0,14-03-30,CN
CLG,1581.1538149385003,1396108800.0,14-03-30,NA
Alliance,1569.6073569020298,1396108800.0,14-03-30,EUW
SK Gaming,1553.9557430345292,1396108800.0,14-03-30,EUW
Team SoloMid,1546.9340810373021,1396108800.0,14-03-30,NA
Gambit Gaming,1544.2840199997454,1396108800.0,14-03-30,EUW
Samsung Ozone,1538.7577174683431,1396108800.0,14-03-30,KR
Roccat,1517.1751787747783,1396108800.0,14-03-30,EUW
Copenhagen Wolves,1490.1262668414724,1396108800.0,14-03-30,EUW
Supa Hot Crew,1470.6576407336909,1396108800.0,14-03-30,EUW
Dignitas,1446.4159601684537,1396108800.0,14-03-30,NA
Team Coast,1440.9293166763034,1396108800.0,14-03-30,NA
Lemondogs,1440.007816410954,1396108800.0,14-03-30,EUW
Curse,1435.0452086234047,1396108800.0,14-03-30,NA
Team Vulcun,1426.3393010714474,1396108800.0,14-03-30,NA
Millenium,1409.6542997161116,1396108800.0,14-03-30,EUW
Evil Genuises,1371.8751585637626,1396108800.0,14-03-30,NA
GamingGear,1329.594810679032,1396108800.0,14-03-30,EUW
Mineski,1254.8342817503014,1396108800.0,14-03-30,SEA
SK Telecom T1,1780.2126929102592,1396713600.0,14-04-06,KR
Fnatic,1681.1683710243299,1396713600.0,14-04-06,EUW
Cloud 9,1668.5311920250185,1396713600.0,14-04-06,NA
OMG,1626.69973706545,1396713600.0,14-04-06,CN
SK Gaming,1598.583096027138,1396713600.0,14-04-06,EUW
CLG,1573.748801793599,1396713600.0,14-04-06,NA
Alliance,1566.15971140758,1396713600.0,14-04-06,EUW
Team SoloMid,1539.8617164569737,1396713600.0,14-04-06,NA
Samsung Ozone,1538.0204902465891,1396713600.0,14-04-06,KR
Gambit Gaming,1521.0906079368983,1396713600.0,14-04-06,EUW
Roccat,1516.2430406491742,1396713600.0,14-04-06,EUW
Copenhagen Wolves,1492.0495493383803,1396713600.0,14-04-06,EUW
Dignitas,1447.2433240146902,1396713600.0,14-04-06,NA
Lemondogs,1440.91790952066,1396713600.0,14-04-06,EUW
Curse,1437.4811550785344,1396713600.0,14-04-06,NA
Team Vulcun,1427.70741417291,1396713600.0,14-04-06,NA
Supa Hot Crew,1424.3058722451508,1396713600.0,14-04-06,EUW
Team Coast,1422.2577638965797,1396713600.0,14-04-06,NA
Millenium,1418.1570709337414,1396713600.0,14-04-06,EUW
Evil Genuises,1381.3810202243303,1396713600.0,14-04-06,NA
GamingGear,1332.0272012871512,1396713600.0,14-04-06,EUW
Mineski,1258.6813866280193,1396713600.0,14-04-06,SEA
SK Telecom T1,1771.1604089888272,1397923200.0,14-04-20,KR
Fnatic,1721.2810586498797,1397923200.0,14-04-20,EUW
Cloud 9,1703.2921444228455,1397923200.0,14-04-20,NA
OMG,1623.5655607939761,1397923200.0,14-04-20,CN
SK Gaming,1595.7014856160888,1397923200.0,14-04-20,EUW
CLG,1586.6355344158,1397923200.0,14-04-20,NA
Roccat,1543.7764784040958,1397923200.0,14-04-20,EUW
Team SoloMid,1543.4489126263513,1397923200.0,14-04-20,NA
Alliance,1537.7687280101134,1397923200.0,14-04-20,EUW
Samsung Ozone,1536.5855688604006,1397923200.0,14-04-20,KR
Gambit Gaming,1520.4181508335414,1397923200.0,14-04-20,EUW
Dignitas,1448.513067619971,1397923200.0,14-04-20,NA
Copenhagen Wolves,1445.6821574030798,1397923200.0,14-04-20,EUW
Lemondogs,1442.707748031477,1397923200.0,14-04-20,EUW
Team Vulcun,1430.3695668475473,1397923200.0,14-04-20,NA
Supa Hot Crew,1426.7178492088033,1397923200.0,14-04-20,EUW
Curse,1424.622903288588,1397923200.0,14-04-20,NA
Millenium,1420.4111501011016,1397923200.0,14-04-20,EUW
Evil Genuises,1385.2544381003313,1397923200.0,14-04-20,NA
Team Coast,1380.0609717121902,1397923200.0,14-04-20,NA
GamingGear,1336.8283350873498,1397923200.0,14-04-20,EUW
Mineski,1266.2339554891157,1397923200.0,14-04-20,SEA
SK Telecom T1,1758.0494607034198,1399737600.0,14-05-11,KR
Fnatic,1703.084399593236,1399737600.0,14-05-11,EUW
Cloud 9,1694.3906955984828,1399737600.0,14-05-11,NA
OMG,1618.5664344150339,1399737600.0,14-05-11,CN
SK Gaming,1590.4979222047205,1399737600.0,14-05-11,EUW
CLG,1583.0304870991235,1399737600.0,14-05-11,NA
Roccat,1541.3471090051303,1399737600.0,14-05-11,EUW
Team SoloMid,1540.6057849739689,1399737600.0,14-05-11,NA
Alliance,1535.516960641328,1399737600.0,14-05-11,EUW
Samsung Ozone,1534.5291997773938,1399737600.0,14-05-11,KR
Gambit Gaming,1520.7135904332326,1399737600.0,14-05-11,EUW
Dignitas,1451.4986022826777,1399737600.0,14-05-11,NA
Copenhagen Wolves,1448.1877561474705,1399737600.0,14-05-11,EUW
Lemondogs,1445.3166296761547,1399737600.0,14-05-11,EUW
Team Vulcun,1434.1839198247642,1399737600.0,14-05-11,NA
Supa Hot Crew,1430.2068409062585,1399737600.0,14-05-11,EUW
Curse,1428.1473148155476,1399737600.0,14-05-11,NA
Millenium,1423.7201420985914,1399737600.0,14-05-11,EUW
Evil Genuises,1390.868181506969,1399737600.0,14-05-11,NA
Team Coast,1386.0398131768156,1399737600.0,14-05-11,NA
GamingGear,1343.867113505627,1399737600.0,14-05-11,EUW
Mineski,1277.2115492555547,1399737600.0,14-05-11,SEA
SK Telecom T1,1749.6137270984389,1400947200.0,14-05-25,KR
Fnatic,1688.373250243548,1400947200.0,14-05-25,EUW
Cloud 9,1677.28530037795,1400947200.0,14-05-25,NA
OMG,1615.497513659946,1400947200.0,14-05-25,CN
SK Gaming,1607.2663956191027,1400947200.0,14-05-25,EUW
CLG,1575.8197088677803,1400947200.0,14-05-25,NA
Team SoloMid,1560.7114791675888,1400947200.0,14-05-25,NA
Alliance,1557.1499308157463,1400947200.0,14-05-25,EUW
Samsung Ozone,1533.2201058048404,1400947200.0,14-05-25,KR
Roccat,1513.4330660822297,1400947200.0,14-05-25,EUW
Gambit Gaming,1497.2283538591055,1400947200.0,14-05-25,EUW
Dignitas,1479.5149837202543,1400947200.0,14-05-25,NA
Millenium,1453.3301724577311,1400947200.0,14-05-25,EUW
Lemondogs,1447.0053862009008,1400947200.0,14-05-25,EUW
Supa Hot Crew,1438.3551479588086,1400947200.0,14-05-25,EUW
Team Vulcun,1436.6123340252484,1400947200.0,14-05-25,NA
Copenhagen Wolves,1432.7870193030767,1400947200.0,14-05-25,EUW
Curse,1412.5445407876769,1400947200.0,14-05-25,NA
Team Coast,1389.877781581814,1400947200.0,14-05-25,NA
Evil Genuises,1353.9661073981194,1400947200.0,14-05-25,NA
GamingGear,1348.4484555750353,1400947200.0,14-05-25,EUW
Mineski,1284.2982345309676,1400947200.0,14-05-25,SEA
SK Telecom T1,1741.416499591527,1402156800.0,14-06-08,KR
Cloud 9,1684.4973183521302,1402156800.0,14-06-08,NA
Fnatic,1671.7388361690184,1402156800.0,14-06-08,EUW
SK Gaming,1622.082008105359,1402156800.0,14-06-08,EUW
OMG,1612.4578595043577,1402156800.0,14-06-08,CN
Alliance,1600.333101461588,1402156800.0,14-06-08,EUW
CLG,1595.8473689120974,1402156800.0,14-06-08,NA
LMQ,1545.939888403506,1402156800.0,14-06-08,NA
Samsung Ozone,1531.9587243353553,1402156800.0,14-06-08,KR
Team SoloMid,1531.3159406597972,1402156800.0,14-06-08,NA
Dignitas,1506.2090024106426,1402156800.0,14-06-08,NA
Gambit Gaming,1500.442199846486,1402156800.0,14-06-08,EUW
Supa Hot Crew,1470.1796945067,1402156800.0,14-06-08,EUW
Roccat,1468.1888479718607,1402156800.0,14-06-08,EUW
compLexity gaming,1455.9038308332651,1402156800.0,14-06-08,NA
Lemondogs,1448.6538919224058,1402156800.0,14-06-08,EUW
Team Vulcun,1438.952840919951,1402156800.0,14-06-08,NA
Millenium,1437.4368424512725,1402156800.0,14-06-08,EUW
Copenhagen Wolves,1412.252999140721,1402156800.0,14-06-08,EUW
Curse,1395.9063322790616,1402156800.0,14-06-08,NA
Team Coast,1393.6004777424466,1402156800.0,14-06-08,NA
Evil Genuises,1367.6826245372454,1402156800.0,14-06-08,NA
GamingGear,1352.9391512477034,1402156800.0,14-06-08,EUW
Mineski,1291.2017375453051,1402156800.0,14-06-08,SEA
SK Telecom T1,1733.4531305519683,1403366400.0,14-06-22,KR
Cloud 9,1668.1568540998778,1403366400.0,14-06-22,NA
Fnatic,1660.1422676387647,1403366400.0,14-06-22,EUW
Alliance,1618.9165232686466,1403366400.0,14-06-22,EUW
SK Gaming,1612.7685164868658,1403366400.0,14-06-22,EUW
OMG,1609.4510572109814,1403366400.0,14-06-22,CN
CLG,1607.3333665279854,1403366400.0,14-06-22,NA
Team SoloMid,1551.9573008955351,1403366400.0,14-06-22,NA
LMQ,1542.7140410729646,1403366400.0,14-06-22,NA
Samsung Ozone,1530.7435753970938,1403366400.0,14-06-22,KR
Roccat,1517.2772209018985,1403366400.0,14-06-22,EUW
Dignitas,1505.7651285166755,1403366400.0,14-06-22,NA
Gambit Gaming,1478.8635412604979,1403366400.0,14-06-22,EUW
Millenium,1468.1805427317759,1403366400.0,14-06-22,EUW
Lemondogs,1450.2623369132682,1403366400.0,14-06-22,EUW
Supa Hot Crew,1447.9609336626097,1403366400.0,14-06-22,EUW
Team Vulcun,1441.208489715074,1403366400.0,14-06-22,NA
compLexity gaming,1436.7186618674998,1403366400.0,14-06-22,NA
Curse,1410.7920418706988,1403366400.0,14-06-22,NA
Team Coast,1397.2105169403221,1403366400.0,14-06-22,NA
Copenhagen Wolves,1373.3621430432383,1403366400.0,14-06-22,EUW
GamingGear,1357.3380224827577,1403366400.0,14-06-22,EUW
Evil Genuises,1357.327349937577,1403366400.0,14-06-22,NA
Mineski,1297.9241072005102,1403366400.0,14-06-22,SEA
SK Telecom T1,1725.718966634785,1404576000.0,14-07-06,KR
Fnatic,1690.3299188357046,1404576000.0,14-07-06,EUW
Cloud 9,1648.3820365522804,1404576000.0,14-07-06,NA
Alliance,1627.4948976862815,1404576000.0,14-07-06,EUW
OMG,1606.4803708438378,1404576000.0,14-07-06,CN
SK Gaming,1598.0740914215833,1404576000.0,14-07-06,EUW
CLG,1596.3219602423344,1404576000.0,14-07-06,NA
Team SoloMid,1567.4357321837374,1404576000.0,14-07-06,NA
LMQ,1539.474080485966,1404576000.0,14-07-06,NA
Samsung Ozone,1529.573195359951,1404576000.0,14-07-06,KR
Roccat,1519.5426846708879,1404576000.0,14-07-06,EUW
Dignitas,1506.014429158501,1404576000.0,14-07-06,NA
Supa Hot Crew,1481.9557549744382,1404576000.0,14-07-06,EUW
Lemondogs,1451.8309643687912,1404576000.0,14-07-06,EUW
Millenium,1451.3896577636385,1404576000.0,14-07-06,EUW
Curse,1448.787753879627,1404576000.0,14-07-06,NA
compLexity gaming,1445.8435347752052,1404576000.0,14-07-06,NA
Team Vulcun,1443.3822356441287,1404576000.0,14-07-06,NA
Gambit Gaming,1434.3984327679536,1404576000.0,14-07-06,EUW
Team Coast,1400.710499809203,1404576000.0,14-07-06,NA
Copenhagen Wolves,1369.1923677962961,1404576000.0,14-07-06,EUW
GamingGear,1361.6441315914333,1404576000.0,14-07-06,EUW
Evil Genuises,1326.0230356555562,1404576000.0,14-07-06,NA
Mineski,1304.4675381364932,1404576000.0,14-07-06,SEA
Fnatic,1721.3203813678458,1405785600.0,14-07-20,EUW
SK Telecom T1,1718.209350841863,1405785600.0,14-07-20,KR
Cloud 9,1657.4937308478723,1405785600.0,14-07-20,NA
Alliance,1615.5775608154418,1405785600.0,14-07-20,EUW
OMG,1603.5487554657607,1405785600.0,14-07-20,CN
CLG,1586.7162149468286,1405785600.0,14-07-20,NA
LMQ,1586.2821036641976,1405785600.0,14-07-20,NA
Team SoloMid,1565.3044411667622,1405785600.0,14-07-20,NA
SK Gaming,1542.228350459461,1405785600.0,14-07-20,EUW
Samsung Ozone,1528.4461402694883,1405785600.0,14-07-20,KR
Roccat,1518.635983620266,1405785600.0,14-07-20,EUW
Supa Hot Crew,1486.7293402288162,1405785600.0,14-07-20,EUW
Millenium,1481.1497817873496,1405785600.0,14-07-20,EUW
Dignitas,1480.7930965603277,1405785600.0,14-07-20,NA
Lemondogs,1453.360067414349,1405785600.0,14-07-20,EUW
Team Vulcun,1445.476941638808,1405785600.0,14-07-20,NA
compLexity gaming,1428.5327245117992,1405785600.0,14-07-20,NA
Curse,1427.3864724800867,1405785600.0,14-07-20,NA
Copenhagen Wolves,1406.5791893456303,1405785600.0,14-07-20,EUW
Team Coast,1404.1030108123018,1405785600.0,14-07-20,NA
Gambit Gaming,1395.1549052445657,1405785600.0,14-07-20,EUW
GamingGear,1365.856770337161,1405785600.0,14-07-20,EUW
Evil Genuises,1343.3473987940379,1405785600.0,14-07-20,NA
Mineski,1310.8343613200382,1405785600.0,14-07-20,SEA
Fnatic,1722.2889374113101,1406995200.0,14-08-03,EUW
SK Telecom T1,1710.9196251267717,1406995200.0,14-08-03,KR
Cloud 9,1687.1955553360297,1406995200.0,14-08-03,NA
Alliance,1650.0393634493862,1406995200.0,14-08-03,EUW
OMG,1600.6588697991847,1406995200.0,14-08-03,CN
LMQ,1574.5247621904873,1406995200.0,14-08-03,NA
SK Gaming,1565.5168303034188,1406995200.0,14-08-03,EUW
Team SoloMid,1557.1959346864003,1406995200.0,14-08-03,NA
Samsung Ozone,1527.3609887289686,1406995200.0,14-08-03,KR
Supa Hot Crew,1510.5037049993796,1406995200.0,14-08-03,EUW
CLG,1504.931608739133,1406995200.0,14-08-03,NA
Roccat,1494.342488291813,1406995200.0,14-08-03,EUW
Curse,1459.7450146550832,1406995200.0,14-08-03,NA
Lemondogs,1454.8499858786513,1406995200.0,14-08-03,EUW
Team Vulcun,1447.4953801228346,1406995200.0,14-08-03,NA
compLexity gaming,1438.2687909351991,1406995200.0,14-08-03,NA
Dignitas,1438.2288416636802,1406995200.0,14-08-03,NA
Millenium,1436.545980625045,1406995200.0,14-08-03,EUW
Evil Genuises,1413.395368545793,1406995200.0,14-08-03,NA
Gambit Gaming,1410.5568416187004,1406995200.0,14-08-03,EUW
Team Coast,1407.3906165839594,1406995200.0,14-08-03,NA
Copenhagen Wolves,1372.6728541608288,1406995200.0,14-08-03,EUW
GamingGear,1369.9754487008206,1406995200.0,14-08-03,EUW
Mineski,1317.0270343172785,1406995200.0,14-08-03,SEA
Fnatic,1708.8767364113762,1408204800.0,14-08-17,EUW
SK Telecom T1,1703.8451334534016,1408204800.0,14-08-17,KR
Alliance,1695.5015040863059,1408204800.0,14-08-17,EUW
Cloud 9,1682.5240349373917,1408204800.0,14-08-17,NA
OMG,1597.8130892364727,1408204800.0,14-08-17,CN
SK Gaming,1584.480193383075,1408204800.0,14-08-17,EUW
LMQ,1572.2020792244923,1408204800.0,14-08-17,NA
Team SoloMid,1555.47249916491,1408204800.0,14-08-17,NA
Samsung Ozone,1526.3163443667106,1408204800.0,14-08-17,KR
Supa Hot Crew,1507.3414800995383,1408204800.0,14-08-17,EUW
CLG,1506.039293942037,1408204800.0,14-08-17,NA
Roccat,1477.3725825854287,1408204800.0,14-08-17,EUW
Curse,1460.0526953479878,1408204800.0,14-08-17,NA
Lemondogs,1456.3011030587177,1408204800.0,14-08-17,EUW
Team Vulcun,1449.4402349051275,1408204800.0,14-08-17,NA
Dignitas,1440.3768910308115,1408204800.0,14-08-17,NA
compLexity gaming,1439.8312027587758,1408204800.0,14-08-17,NA
Evil Genuises,1414.6730796438499,1408204800.0,14-08-17,NA
Gambit Gaming,1413.6093522609515,1408204800.0,14-08-17,EUW
Team Coast,1410.5758641774155,1408204800.0,14-08-17,NA
Millenium,1394.5804718982283,1408204800.0,14-08-17,EUW
Copenhagen Wolves,1375.8919165825519,1408204800.0,14-08-17,EUW
GamingGear,1373.9998834041019,1408204800.0,14-08-17,EUW
Mineski,1323.0481313522232,1408204800.0,14-08-17,SEA
Fnatic,1703.8846002617074,1409500800.0,14-09-01,EUW
SK Telecom T1,1696.498881401057,1409500800.0,14-09-01,KR
Alliance,1688.7071821938712,1409500800.0,14-09-01,EUW
Cloud 9,1668.576929033698,1409500800.0,14-09-01,NA
Team SoloMid,1627.4191318670933,1409500800.0,14-09-01,NA
OMG,1594.8153684192612,1409500800.0,14-09-01,CN
SK Gaming,1581.9257101102933,1409500800.0,14-09-01,EUW
LMQ,1567.579575823779,1409500800.0,14-09-01,NA
Samsung Ozone,1525.2404780618917,1409500800.0,14-09-01,KR
Supa Hot Crew,1506.428644981627,1409500800.0,14-09-01,EUW
Roccat,1477.978137486751,1409500800.0,14-09-01,EUW
Lemondogs,1457.8132958778713,1409500800.0,14-09-01,EUW
CLG,1454.5818798112498,1409500800.0,14-09-01,NA
Team Vulcun,1451.4453014576536,1409500800.0,14-09-01,NA
Dignitas,1448.2160257080961,1409500800.0,14-09-01,NA
Curse,1444.7785865657224,1409500800.0,14-09-01,NA
compLexity gaming,1441.4905157259543,1409500800.0,14-09-01,NA
Gambit Gaming,1416.793036561793,1409500800.0,14-09-01,EUW
Evil Genuises,1416.112108320299,1409500800.0,14-09-01,NA
Team Coast,1413.8779121923676,1409500800.0,14-09-01,NA
Millenium,1397.5890424345662,1409500800.0,14-09-01,EUW
Copenhagen Wolves,1379.2993709407574,1409500800.0,14-09-01,EUW
GamingGear,1378.207099713378,1409500800.0,14-09-01,EUW
Mineski,1329.3119576705406,1409500800.0,14-09-01,SEA
Samsung Galaxy White,1995.1456522722274,1411833600.0,14-09-28,KR
Samsung Galaxy Blue,1880.058326851978,1411833600.0,14-09-28,KR
Team SoloMid,1754.7824339300814,1411833600.0,14-09-28,NA
Star Horn Royal Club,1747.9559493394613,1411833600.0,14-09-28,CN
Cloud 9,1745.7218555722393,1411833600.0,14-09-28,NA
OMG,1692.1468346040049,1411833600.0,14-09-28,CN
SK Telecom T1,1683.8666064266702,1411833600.0,14-09-28,KR
NaJin White Shield,1678.7068735656571,1411833600.0,14-09-28,KR
Alliance,1628.7330353606067,1411833600.0,14-09-28,EUW
Samsung Ozone,1523.4119074659739,1411833600.0,14-09-28,KR
SK Gaming,1507.4347899731981,1411833600.0,14-09-28,EUW
Supa Hot Crew,1504.9389955403813,1411833600.0,14-09-28,EUW
ahq e-Sports Club,1501.3622635384022,1411833600.0,14-09-28,PCS
Roccat,1479.0331087057689,1411833600.0,14-09-28,EUW
Edward Gaming,1473.5049635129296,1411833600.0,14-09-28,CN
Lemondogs,1460.4260645178683,1411833600.0,14-09-28,EUW
CLG,1459.9825407961166,1411833600.0,14-09-28,NA
Team Vulcun,1454.8588477103722,1411833600.0,14-09-28,NA
Dignitas,1451.3872244620745,1411833600.0,14-09-28,NA
Curse,1446.4661582019112,1411833600.0,14-09-28,NA
Fnatic,1445.1026383087788,1411833600.0,14-09-28,EUW
compLexity gaming,1444.4318652127497,1411833600.0,14-09-28,NA
Gambit Gaming,1422.2957189003123,1411833600.0,14-09-28,EUW
Team Coast,1419.5425965741097,1411833600.0,14-09-28,NA
Evil Genuises,1418.8565668540473,1411833600.0,14-09-28,NA
Millenium,1402.85652001842,1411833600.0,14-09-28,EUW
GamingGear,1385.5077492571718,1411833600.0,14-09-28,EUW
